Sociedad;Unidad de negocio;Segmento;Cuentas;Periodo;Año;Mes;Cecos;Cebes;Cliente;Material;Moneda;Real Periodo;Descripción cuenta;Volumen;UM;Subcategoria;Moneda;Real Periodo;;-1
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000012;20013479;Lempiras;360;Ventas Locales;220;ft3;Oxígeno;Dolares;14.91;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000038;20013495;Lempiras;700;Ventas Locales;145;ft3;Acetileno;Dolares;29;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000053;20013479;Lempiras;2100;Ventas Locales;1040;ft3;Oxígeno;Dolares;86.99;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000061;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000070;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000072;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000083;20013479;Lempiras;5500;Ventas Locales;3000;ft3;Oxígeno;Dolares;227.84;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000083;20013495;Lempiras;2760;Ventas Locales;435;ft3;Acetileno;Dolares;114.33;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000094;20013479;Lempiras;3600;Ventas Locales;1760;ft3;Oxígeno;Dolares;149.13;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000102;20013479;Lempiras;1200;Ventas Locales;600;ft3;Oxígeno;Dolares;49.71;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000120;20013479;Lempiras;1200;Ventas Locales;600;ft3;Oxígeno;Dolares;49.71;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000127;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000135;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000138;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000144;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000149;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000166;20013479;Lempiras;73840;Ventas Locales;78000;ft3;Oxígeno;Dolares;3058.82;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000169;20013479;Lempiras;9900;Ventas Locales;4840;ft3;Oxígeno;Dolares;410.11;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000169;20013495;Lempiras;6280;Ventas Locales;1015;ft3;Acetileno;Dolares;260.15;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000172;20013479;Lempiras;24300;Ventas Locales;13500;ft3;Oxígeno;Dolares;1006.63;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000172;20013495;Lempiras;8280;Ventas Locales;1305;ft3;Acetileno;Dolares;343;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010105;HN-00000172;60000242;Lempiras;900;Ventas Locales;;UND;Extinguidor-PQS;Dolares;37.28;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000186;20013479;Lempiras;1200;Ventas Locales;660;ft3;Oxígeno;Dolares;49.71;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000188;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010141;HN-00000210;20013458;Lempiras;3900;Ventas Locales;660;UND;Dióxido;Dolares;161.56;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000210;20013479;Lempiras;680;Ventas Locales;440;ft3;Oxígeno;Dolares;28.17;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000210;20013495;Lempiras;1780;Ventas Locales;290;ft3;Acetileno;Dolares;73.74;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000216;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000221;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000223;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000228;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010105;HN-00000234;20013476;Lempiras;1500;Ventas Locales;220;ft3;Argón;Dolares;62.14;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010109;HN-00000234;20013491;Lempiras;2100;Ventas Locales;110;LB;CO2;Dolares;86.99;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000235;20013479;Lempiras;320;Ventas Locales;165;ft3;Oxígeno;Dolares;13.26;;
B005;Gases;Honduras;4011010004;1;2020;enero;;B005010711;HN-00000235;70002372;Lempiras;500;Otras Ventas;;UND;Consumibles;Dolares;20.71;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000242;20013479;Lempiras;900;Ventas Locales;440;ft3;Oxígeno;Dolares;37.28;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000248;20013479;Lempiras;900;Ventas Locales;440;ft3;Oxígeno;Dolares;37.28;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010105;HN-00000249;20013476;Lempiras;6000;Ventas Locales;880;ft3;Argón;Dolares;248.55;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000256;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000262;20013479;Lempiras;31560;Ventas Locales;17400;ft3;Oxígeno;Dolares;1307.37;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000267;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000267;20013495;Lempiras;920;Ventas Locales;145;ft3;Acetileno;Dolares;38.11;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000282;20013479;Lempiras;1800;Ventas Locales;880;ft3;Oxígeno;Dolares;74.57;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000285;20013479;Lempiras;2380;Ventas Locales;1540;ft3;Oxígeno;Dolares;98.59;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010165;HN-00000290;20013477;Lempiras;6300;Ventas Locales;1800;ft3;Nitrogeno;Dolares;260.98;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010109;HN-00000290;20013491;Lempiras;12150;Ventas Locales;630;LB;CO2;Dolares;503.31;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000291;20013479;Lempiras;23400;Ventas Locales;14300;ft3;Oxígeno;Dolares;969.35;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000291;20013495;Lempiras;18690;Ventas Locales;3045;ft3;Acetileno;Dolares;774.23;;
B005;Gases;Honduras;4011010004;1;2020;enero;;B005010711;HN-00000293;10001909;Lempiras;9600;Otras Ventas;;KG;Consumibles;Dolares;397.68;;
B005;Gases;Honduras;4011010004;1;2020;enero;;B005010711;HN-00000293;90001950;Lempiras;1200;Otras Ventas;;UND;Extintor CO2;Dolares;49.71;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010165;HN-00000294;20013477;Lempiras;2100;Ventas Locales;600;ft3;Nitrogeno;Dolares;86.99;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000298;20013479;Lempiras;1420;Ventas Locales;1500;ft3;Oxígeno;Dolares;58.82;;
B005;Gases;Honduras;4011010004;1;2020;enero;;B005010711;HN-00000301;20013442;Lempiras;4800;Otras Ventas;;UND;Extintor CO2;Dolares;198.84;;
B005;Gases;Honduras;4011010004;1;2020;enero;;B005010711;HN-00000301;20013443;Lempiras;9360;Otras Ventas;;UND;Extintor CO2;Dolares;387.74;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010165;HN-00000301;20013477;Lempiras;1050;Ventas Locales;300;ft3;Nitrogeno;Dolares;43.5;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010109;HN-00000301;20013491;Lempiras;5400;Ventas Locales;280;LB;CO2;Dolares;223.7;;
B005;Gases;Honduras;4011010004;1;2020;enero;;B005010711;HN-00000301;70002372;Lempiras;675;Otras Ventas;;UND;Consumibles;Dolares;27.96;;
B005;Gases;Honduras;4011010004;1;2020;enero;;B005010711;HN-00000301;90001992;Lempiras;429;Otras Ventas;;UND;Consumibles Extintores;Dolares;17.77;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000303;20013479;Lempiras;1800;Ventas Locales;880;ft3;Oxígeno;Dolares;74.57;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000306;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000306;20013495;Lempiras;920;Ventas Locales;145;ft3;Acetileno;Dolares;38.11;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010105;HN-00000324;20013476;Lempiras;1200;Ventas Locales;220;ft3;Argón;Dolares;49.71;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010165;HN-00000324;20013477;Lempiras;6300;Ventas Locales;1800;ft3;Nitrogeno;Dolares;260.98;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010109;HN-00000335;20013491;Lempiras;9300;Ventas Locales;485;LB;CO2;Dolares;385.25;;
